station_id,date,ext_med,ext_spread,ext_diff_pre,clim_pct,ext_shift_f,pred_pre_shift,first_seen_at,pred_pre_bias,sign_nudge_applied,nudge_f,streak_len,ewma_pre,bias_path
KLAS,2026-06-18,106.4,2.5,-2.7250000000000085,80.88888888888889,1.3625000000000043,103.67499999999998,2026-06-18T07:03:00.397128,102.8,0,0.0,0,-1.7184479054779807,regime
KLGA,2026-06-18,86.3,12.799999999999997,0.23031686358753234,85.77777777777777,0.0,86.53031686358753,2026-06-18T11:38:35.832519,87.6,0,0.0,0,1.0696831364124597,ewma
KBOS,2026-06-18,75.9,5.200000000000003,5.745479206721271,80.88888888888889,-2.8727396033606354,81.64547920672126,2026-06-18T11:45:17.222390,80.4,0,0.0,0,-1.2454792067212728,ewma
KMIA,2026-06-18,91.6,4.0,-1.0358084663428144,95.55555555555556,0.16464394810258187,90.56419153365718,2026-06-18T11:46:31.814762,89.0,0,0.0,0,-1.5641915336571823,ewma
KMDW,2026-06-18,72.1,4.5,-10.762424609549896,0.2222222222222222,5.381212304774948,61.3375753904501,2026-06-18T11:47:27.383194,73.6,0,0.0,0,12.262424609549898,ewma
KPHX,2026-06-18,105.4,3.200000000000003,-0.40296294345387196,48.0,0.0,104.99703705654613,2026-06-18T11:48:26.841756,103.5,0,0.0,0,-1.4970370565461302,ewma
KLAX,2026-06-18,68.3,6.3999999999999915,1.0220998925886136,10.222222222222223,0.0,69.32209989258861,2026-06-18T11:49:06.280179,68.0,0,0.0,0,-1.3220998925886145,ewma
KLAS,2026-06-17,108.3,1.8999999999999915,-3.369117647058829,88.0,1.6845588235294144,104.93088235294117,2026-06-17T07:03:34.112521,104.1,0,0.0,0,-0.8308823529411765,ewma
KLGA,2026-06-17,77.8,4.599999999999994,0.33031686358754087,45.55555555555556,0.0,78.13031686358754,2026-06-17T11:52:11.717502,79.2,0,0.0,0,1.0696831364124597,ewma
KBOS,2026-06-17,77.1,7.099999999999994,2.3454792067212793,75.55555555555556,0.0,79.44547920672127,2026-06-17T11:53:04.453383,78.2,0,0.0,0,-1.2454792067212728,ewma
KMIA,2026-06-17,89.6,6.400000000000006,1.2641915336571827,96.22222222222221,0.0,90.86419153365718,2026-06-17T11:53:54.478924,89.3,0,0.0,0,-1.5641915336571823,ewma
KMDW,2026-06-17,69.9,4.200000000000003,-8.462424609549899,0.4444444444444444,4.2312123047749495,61.437575390450114,2026-06-17T11:54:46.845328,73.7,0,0.0,0,12.262424609549898,ewma
KPHX,2026-06-17,107.7,2.5999999999999943,0.3282442748091654,74.66666666666667,0.0,108.02824427480917,2026-06-17T11:59:51.655540,106.7,0,0.0,0,-1.3282442748091607,ewma
KLAX,2026-06-17,71.1,10.0,0.9220998925886192,24.88888888888889,0.0,72.02209989258861,2026-06-17T12:01:06.972090,70.7,0,0.0,0,-1.3220998925886145,ewma
KMDW,2026-06-16,75.0,3.299999999999997,-0.8070784177654389,24.666666666666668,0.0,74.19292158223456,2026-06-16T05:04:57.979263,73.0,0,0.0,0,-1.1929215822345594,ewma
KLGA,2026-06-16,77.6,2.3999999999999915,0.7303168635875465,48.888888888888886,0.0,78.33031686358754,2026-06-16T13:00:13.562401,79.4,0,0.0,0,1.0696831364124597,ewma
KPHX,2026-06-16,110.1,1.5,0.5282442748091682,90.0,0.0,110.62824427480916,2026-06-16T13:07:31.027129,109.3,0,0.0,0,-1.3282442748091607,ewma
KBOS,2026-06-16,79.2,4.599999999999994,0.5454792067212679,77.55555555555556,0.0,79.74547920672127,2026-06-16T13:08:06.668711,78.5,0,0.0,0,-1.2454792067212728,ewma
KMIA,2026-06-16,92.3,3.6000000000000085,-1.7358084663428173,96.0,0.5796769113225692,90.56419153365718,2026-06-16T13:09:21.592340,89.0,0,0.0,0,-1.5641915336571823,ewma
KLAX,2026-06-16,70.3,11.700000000000003,4.6000000000000085,53.77777777777778,0.0,74.9,2026-06-16T13:14:12.618920,74.9,0,0.0,0,0.4565303273723303,none
KLAS,2026-06-16,108.4,1.2999999999999972,-2.669117647058826,92.22222222222223,1.334558823529413,105.73088235294117,2026-06-16T13:16:15.388906,104.9,0,0.0,0,-0.8308823529411765,ewma
KBOS,2026-06-15,90.2,1.3999999999999915,-8.369132713529467,85.11111111111111,4.1845663567647335,81.83086728647054,2026-06-15T04:05:26.746046,80.8,0,0.0,0,-1.0308672864705424,ewma
KPHX,2026-06-15,107.4,2.5999999999999943,-0.37175572519083744,70.66666666666667,0.0,107.02824427480917,2026-06-15T12:07:27.568272,105.7,0,0.0,0,-1.3282442748091607,ewma
KLAX,2026-06-15,69.5,14.200000000000003,6.799999999999997,67.77777777777779,0.0,76.3,2026-06-15T12:07:31.968732,76.3,0,0.0,0,0.4565303273723303,none
KLAS,2026-06-15,106.2,1.7999999999999972,-2.869117647058829,81.77777777777779,1.4345588235294144,103.33088235294117,2026-06-15T12:07:36.204082,102.5,0,0.0,0,-0.8308823529411765,ewma
KLGA,2026-06-15,77.1,5.0,0.8303168635875409,48.44444444444444,0.0,77.93031686358754,2026-06-15T12:07:40.429575,79.0,0,0.0,0,1.0696831364124597,ewma
KMDW,2026-06-15,91.2,5.0,-0.635808466342823,96.22222222222221,0.0,90.56419153365718,2026-06-15T12:07:51.717828,89.0,0,0.0,0,-1.5641915336571823,ewma
KPHX,2026-06-14,107.5,3.299999999999997,-0.9000000000000057,67.11111111111111,0.0,106.6,2026-06-14T07:04:44.337847,106.6,0,0.0,0,-0.04510756419153361,none
KLAX,2026-06-14,71.7,12.700000000000003,3.8999999999999915,64.88888888888889,0.0,75.6,2026-06-14T11:42:28.275232,75.6,0,0.0,0,0.4565303273723303,none
KLAS,2026-06-14,105.6,1.4000000000000057,-1.8691176470588147,85.55555555555556,0.6864884299307885,103.73088235294118,2026-06-14T11:42:29.570943,102.9,0,0.0,0,-0.8308823529411765,ewma
KLGA,2026-06-14,88.9,7.299999999999997,-0.16968313641247335,93.55555555555556,0.0,88.73031686358753,2026-06-14T11:42:30.848682,89.8,0,0.0,0,1.0696831364124597,ewma
KBOS,2026-06-14,91.6,1.8999999999999915,-0.16913271352945003,98.88888888888889,0.0,91.43086728647054,2026-06-14T11:42:32.185311,90.4,0,0.0,0,-1.0308672864705424,ewma
KMDW,2026-06-14,90.6,3.5999999999999943,-0.3358084663428116,95.11111111111111,0.0,90.26419153365718,2026-06-14T11:42:35.826006,88.7,0,0.0,0,-1.5641915336571823,ewma
KPHX,2026-06-13,106.4,5.299999999999997,-0.5679389312977179,64.22222222222223,0.0,105.83206106870229,2026-06-13T07:02:48.396279,105.0,0,0.0,0,-0.8320610687022901,ewma
KLAS,2026-06-12,102.6,2.5999999999999943,2.207352941176481,92.22222222222223,-0.3903443987889349,104.80735294117648,2026-06-12T07:04:20.136631,102.8,0,0.0,0,-2.007352941176471,ewma
KLGA,2026-06-12,94.1,3.4000000000000057,-1.1696831364124591,98.44444444444444,0.22507134626067596,92.93031686358754,2026-06-12T12:34:23.225493,94.0,0,0.0,0,1.0696831364124597,ewma
KPHX,2026-06-12,105.8,3.8999999999999915,1.132061068702285,74.22222222222223,0.0,106.93206106870228,2026-06-12T12:41:02.674862,106.1,0,0.0,0,-0.8320610687022901,ewma
KPHX,2026-06-11,106.5,3.5,-1.4000000000000057,59.333333333333336,0.0,105.1,2026-06-11T18:53:31.404624,,,,,,
KLAX,2026-06-11,75.1,15.399999999999991,1.2000000000000028,73.11111111111111,0.0,76.3,2026-06-11T19:54:06.112456,76.3,0,0.0,0,0.4565303273723303,none
KLAS,2026-06-11,103.2,1.8999999999999915,-2.0926470588235446,75.1111111111111,0.3100502811418787,101.10735294117646,2026-06-11T21:28:26.566321,99.1,0,0.0,0,-2.007352941176471,ewma
